User_ID,Current_Location,Time_of_Day,Device_Type,Weather,Preferred_Cuisine,Dietary_Restriction,Last_Order_Days_Ago,Average_Spend,Dish_Cuisine,Dish_Price,Dish_Popularity,Restaurant_Rating,Delivery_Time_Minutes,Clicked_On,Added_to_Cart,Ordered
1,Other,Late Night,Mobile,Hot,Italian,Vegan,13,25.05,Indian,25.59,Low,4.0,46,Yes,Yes,Yes
2,Home,Late Night,Tablet,Cloudy,Chinese,Vegan,4,13.34,American,21.81,Low,3.8,21,No,No,No
3,Other,Late Night,Desktop,Sunny,American,None,11,41.09,American,9.8,Medium,4.5,43,No,Yes,No
4,Other,Dinner,Mobile,Sunny,American,Gluten-Free,0,32.34,Mexican,27.22,Low,3.0,22,Yes,Yes,No
5,Home,Dinner,Mobile,Cloudy,Italian,Vegan,6,26.97,Mexican,28.26,Low,4.2,15,Yes,Yes,No
6,Home,Dinner,Mobile,Cloudy,Mexican,Gluten-Free,12,46.25,Indian,9.34,Medium,4.1,17,Yes,Yes,Yes
7,Other,Breakfast,Tablet,Cloudy,Italian,Halal,6,14.45,Italian,14.09,Low,4.4,38,Yes,Yes,Yes
8,Work,Late Night,Desktop,Cold,Indian,Vegan,8,29.71,Chinese,25.74,High,4.2,37,No,No,No
9,Other,Dinner,Mobile,Sunny,Indian,Vegan,2,10.45,American,24.46,High,4.7,22,Yes,Yes,No
10,Other,Dinner,Mobile,Cold,American,Halal,8,28.75,Italian,12.06,Medium,4.9,51,No,Yes,No
11,Other,Breakfast,Mobile,Cloudy,Mexican,Vegan,13,12.25,Thai,12.61,Medium,3.7,17,No,Yes,Yes
12,Other,Dinner,Tablet,Sunny,Chinese,Gluten-Free,0,14.75,American,16.15,Medium,3.5,47,No,Yes,Yes
13,Home,Breakfast,Tablet,Cold,Indian,None,0,14.7,American,18.66,High,3.8,42,Yes,No,Yes
14,Other,Lunch,Desktop,Cold,American,Gluten-Free,13,35.97,Mexican,21.6,Low,3.6,22,Yes,No,Yes
15,Work,Dinner,Tablet,Cloudy,Thai,None,3,39.84,Chinese,16.12,High,4.2,48,Yes,No,No
16,Home,Lunch,Mobile,Sunny,American,None,8,33.33,Chinese,18.18,Medium,4.8,49,Yes,No,No
17,Work,Breakfast,Desktop,Cloudy,Indian,Gluten-Free,5,48.49,Thai,24.44,Low,3.3,46,No,Yes,No
18,Work,Late Night,Mobile,Sunny,Indian,Gluten-Free,12,24.99,Thai,8.81,Low,3.2,38,Yes,No,Yes
19,Work,Dinner,Mobile,Hot,American,Gluten-Free,10,21.43,American,13.55,High,3.5,28,Yes,Yes,Yes
20,Work,Breakfast,Tablet,Rainy,Chinese,Gluten-Free,2,44.74,Indian,23.69,Medium,4.5,46,No,Yes,Yes
21,Home,Late Night,Desktop,Rainy,Italian,Halal,0,18.94,Mexican,27.69,High,4.2,57,Yes,Yes,No
22,Home,Late Night,Tablet,Rainy,Indian,Vegan,3,48.53,Mexican,19.26,Low,3.2,30,No,Yes,No
23,Work,Lunch,Tablet,Cloudy,American,None,11,10.49,American,19.71,High,4.8,18,No,Yes,Yes
24,Work,Breakfast,Desktop,Hot,American,Gluten-Free,12,48.8,Italian,10.36,High,4.6,51,No,No,No
25,Home,Late Night,Mobile,Sunny,Mexican,Gluten-Free,8,11.73,Indian,17.84,Medium,3.0,35,No,No,Yes
26,Home,Dinner,Mobile,Cold,Italian,Gluten-Free,2,45.65,American,19.72,Medium,4.3,28,No,No,Yes
27,Home,Dinner,Desktop,Sunny,Thai,Halal,11,31.11,Indian,13.33,Low,4.5,45,No,No,No
28,Other,Lunch,Mobile,Cold,Chinese,Gluten-Free,8,49.72,Indian,13.92,High,3.7,32,No,Yes,Yes
29,Other,Late Night,Desktop,Sunny,Thai,Gluten-Free,6,12.95,Indian,16.3,High,3.1,21,No,No,No
30,Other,Breakfast,Desktop,Hot,Italian,Gluten-Free,11,32.15,American,8.44,High,3.2,24,Yes,Yes,Yes
31,Work,Dinner,Tablet,Cold,Italian,Vegan,13,48.77,Mexican,15.09,Low,3.2,21,Yes,No,No
32,Other,Late Night,Desktop,Cloudy,Italian,Halal,14,30.92,Mexican,12.65,Low,4.7,47,Yes,Yes,No
33,Work,Late Night,Tablet,Sunny,Thai,Gluten-Free,3,35.18,Indian,15.2,Medium,4.8,37,Yes,Yes,No
34,Work,Lunch,Mobile,Sunny,Italian,None,2,37.83,Italian,10.63,Medium,3.2,35,No,No,Yes
35,Other,Dinner,Mobile,Cold,American,None,9,28.18,Chinese,27.59,Medium,3.5,33,Yes,Yes,Yes
36,Work,Dinner,Mobile,Cloudy,Thai,None,14,35.1,American,21.06,High,3.3,33,No,Yes,No
37,Other,Breakfast,Mobile,Cloudy,Italian,Halal,4,33.37,Chinese,22.94,High,3.4,50,Yes,No,No
38,Other,Dinner,Tablet,Hot,American,Halal,4,46.05,Italian,25.36,Medium,4.7,43,Yes,Yes,Yes
39,Home,Breakfast,Mobile,Cloudy,Mexican,None,2,11.82,American,18.97,High,3.7,32,Yes,No,Yes
40,Other,Dinner,Desktop,Cloudy,Italian,Gluten-Free,11,21.24,Indian,9.91,Medium,3.6,16,No,No,Yes
41,Home,Lunch,Desktop,Cloudy,Thai,Halal,8,48.02,Mexican,19.82,Low,3.5,15,Yes,No,No
42,Other,Dinner,Desktop,Rainy,Indian,None,3,45.61,Chinese,20.91,Medium,4.2,19,No,Yes,Yes
43,Other,Breakfast,Tablet,Hot,Italian,None,10,28.23,Thai,24.4,Low,3.8,34,No,Yes,Yes
44,Home,Breakfast,Mobile,Sunny,Indian,Gluten-Free,4,34.81,Thai,17.5,High,4.5,25,Yes,Yes,No
45,Home,Lunch,Mobile,Cold,American,Vegan,3,21.1,Italian,10.81,Medium,3.4,56,Yes,No,Yes
46,Other,Dinner,Mobile,Sunny,Mexican,Halal,4,17.52,Indian,14.24,High,4.6,16,Yes,Yes,Yes
47,Work,Dinner,Tablet,Hot,Chinese,Gluten-Free,6,28.55,Chinese,15.99,Low,4.2,17,No,No,Yes
48,Home,Lunch,Desktop,Cold,Mexican,None,8,24.13,Indian,22.21,Low,3.2,37,Yes,No,No
49,Work,Dinner,Desktop,Hot,Italian,None,6,33.35,Chinese,20.56,Low,3.8,26,No,Yes,No
50,Work,Dinner,Mobile,Cloudy,Indian,Gluten-Free,12,13.11,Italian,15.83,High,4.7,34,No,No,No
51,Work,Breakfast,Desktop,Cold,Indian,Halal,4,48.98,Italian,29.7,High,4.8,19,Yes,Yes,No
52,Home,Dinner,Desktop,Cloudy,Thai,Vegan,9,49.45,Thai,21.33,High,3.9,51,Yes,Yes,No
53,Work,Dinner,Tablet,Sunny,Indian,Vegan,9,37.93,Indian,13.22,High,4.0,52,No,Yes,No
54,Home,Lunch,Tablet,Sunny,Thai,None,6,31.44,American,10.24,Low,4.8,44,No,Yes,No
55,Work,Lunch,Tablet,Cold,American,Halal,13,22.38,Thai,11.36,Low,4.2,23,No,Yes,Yes
56,Other,Late Night,Tablet,Cold,Chinese,Vegan,14,42.55,Indian,13.41,Medium,3.1,48,Yes,No,Yes
57,Other,Breakfast,Mobile,Hot,Italian,Halal,9,37.39,Thai,11.53,Medium,4.8,58,No,No,No
58,Home,Dinner,Tablet,Hot,Thai,Halal,4,16.5,American,12.1,High,3.5,49,Yes,No,Yes
59,Other,Dinner,Desktop,Cloudy,Chinese,None,2,46.44,Mexican,14.27,Low,4.2,36,No,Yes,Yes
60,Other,Late Night,Mobile,Cold,Indian,Vegan,6,42.9,Mexican,11.81,Low,3.3,58,No,Yes,No
61,Work,Dinner,Desktop,Sunny,Indian,Gluten-Free,12,47.99,Mexican,27.73,Low,3.1,38,Yes,Yes,Yes
62,Home,Breakfast,Desktop,Hot,Chinese,None,10,39.03,Mexican,9.77,Medium,3.6,31,No,No,Yes
63,Work,Late Night,Desktop,Hot,Indian,Vegan,10,34.54,Chinese,19.54,Medium,4.6,24,Yes,Yes,Yes
64,Work,Breakfast,Tablet,Sunny,American,Vegan,1,26.73,Mexican,17.03,Low,3.6,44,Yes,No,Yes
65,Work,Late Night,Tablet,Hot,American,Vegan,14,47.31,American,29.61,Low,3.4,37,No,No,Yes
66,Work,Late Night,Mobile,Cloudy,Chinese,Vegan,11,44.64,Italian,10.46,Low,3.4,46,Yes,Yes,No
67,Work,Lunch,Mobile,Cold,Thai,Vegan,8,11.81,Italian,16.75,Medium,4.0,31,Yes,Yes,No
68,Work,Breakfast,Tablet,Sunny,Thai,Halal,9,11.05,Chinese,29.33,Low,5.0,31,No,No,No
69,Work,Dinner,Desktop,Cold,Chinese,None,9,25.06,Mexican,27.04,Low,3.9,28,Yes,Yes,Yes
70,Home,Dinner,Mobile,Hot,Thai,Halal,11,42.42,Mexican,25.98,High,4.1,23,Yes,No,No
71,Other,Breakfast,Tablet,Hot,Thai,Gluten-Free,0,49.49,Mexican,13.67,High,4.7,54,Yes,Yes,Yes
72,Work,Dinner,Tablet,Sunny,American,Vegan,12,16.02,Thai,11.76,Medium,4.1,16,No,Yes,Yes
73,Work,Dinner,Tablet,Cloudy,Thai,None,5,33.77,Indian,22.71,Low,3.4,59,Yes,No,Yes
74,Work,Breakfast,Desktop,Rainy,Mexican,Vegan,6,25.24,Thai,28.45,Low,3.6,39,No,Yes,Yes
75,Work,Late Night,Tablet,Sunny,Italian,None,13,48.8,Indian,20.25,High,3.6,53,No,No,No
76,Work,Breakfast,Tablet,Rainy,Indian,Halal,12,43.68,Mexican,20.58,Medium,3.8,23,Yes,Yes,No
77,Work,Late Night,Tablet,Rainy,Mexican,None,7,43.53,Mexican,14.16,High,3.9,36,Yes,No,Yes
78,Other,Dinner,Tablet,Cloudy,Thai,Gluten-Free,9,28.75,Thai,24.93,High,4.6,57,Yes,No,No
79,Other,Dinner,Mobile,Rainy,American,Gluten-Free,8,26.59,Thai,12.11,High,3.7,18,No,Yes,Yes
80,Work,Dinner,Mobile,Rainy,Chinese,None,1,20.94,Indian,15.12,High,3.9,40,Yes,No,No
81,Other,Lunch,Tablet,Cloudy,Thai,None,10,12.26,Italian,17.36,Low,4.2,43,Yes,Yes,No
82,Home,Late Night,Desktop,Rainy,American,None,9,44.59,Indian,19.17,Low,3.8,59,Yes,Yes,Yes
83,Work,Lunch,Mobile,Rainy,Italian,None,1,42.52,Thai,13.33,High,4.7,48,Yes,Yes,No
84,Home,Lunch,Tablet,Rainy,Thai,Gluten-Free,4,49.99,American,10.53,Medium,4.2,37,Yes,No,Yes
85,Home,Breakfast,Mobile,Sunny,Chinese,Vegan,12,49.87,Thai,21.43,Medium,3.6,51,No,No,No
86,Work,Lunch,Mobile,Sunny,American,None,4,32.22,American,14.35,Medium,4.4,25,No,Yes,Yes
87,Other,Breakfast,Desktop,Sunny,American,None,5,40.76,Chinese,20.79,Medium,4.1,20,Yes,Yes,Yes
88,Home,Breakfast,Tablet,Cloudy,American,Gluten-Free,2,47.79,Thai,11.4,High,4.1,32,Yes,No,No
89,Work,Lunch,Tablet,Hot,Italian,Gluten-Free,7,43.99,Chinese,18.59,Low,4.0,35,Yes,Yes,No
90,Home,Late Night,Desktop,Rainy,Thai,Halal,12,19.89,Italian,19.72,Medium,4.0,56,Yes,Yes,Yes
91,Home,Late Night,Desktop,Rainy,Italian,None,0,28.02,Indian,9.14,High,4.5,50,No,No,No
92,Home,Late Night,Tablet,Cloudy,Indian,Halal,5,15.17,American,15.41,Medium,3.2,55,Yes,Yes,No
93,Home,Late Night,Tablet,Rainy,Indian,Gluten-Free,3,48.16,Indian,10.96,Medium,3.7,52,No,No,Yes
94,Other,Late Night,Desktop,Sunny,Thai,Gluten-Free,0,34.25,Chinese,9.39,High,3.2,48,No,Yes,Yes
