User_ID,Current_Location,Time_of_Day,Device_Type,Weather,Preferred_Cuisine,Dietary_Restriction,Last_Order_Days_Ago,Average_Spend,Dish_Cuisine,Dish_Price,Dish_Popularity,Restaurant_Rating,Delivery_Time_Minutes,Clicked_On,Added_to_Cart,Ordered,Dish_Style
52,Work,Lunch,Mobile,Cloudy,Indian,None,13,47.99,American,20.67,High,4.0,51,No,No,Yes,Fresh
93,Home,Late Night,Tablet,Rainy,Thai,Halal,2,39.03,Indian,28.18,Medium,5.0,39,Yes,Yes,Yes,Smoky
15,Home,Dinner,Mobile,Sunny,Italian,Halal,12,34.54,Thai,8.12,Low,3.9,52,No,Yes,Yes,Cold
72,Home,Breakfast,Mobile,Rainy,Chinese,None,12,26.73,Mexican,29.45,Low,4.1,26,No,Yes,Yes,Crunchy
61,Home,Lunch,Desktop,Rainy,American,Gluten-Free,1,47.31,Chinese,18.8,Low,4.7,37,No,No,No,Cold
21,Other,Breakfast,Tablet,Cloudy,American,Gluten-Free,11,44.64,Indian,23.9,Low,4.1,56,Yes,Yes,No,Smoky
83,Home,Breakfast,Tablet,Rainy,Thai,None,13,11.81,Chinese,26.06,Medium,3.4,36,Yes,Yes,Yes,Fresh
87,Home,Dinner,Desktop,Rainy,Indian,None,9,11.05,Chinese,23.81,Low,3.6,35,Yes,No,No,Fresh
75,Home,Lunch,Desktop,Cloudy,Indian,Halal,3,25.06,American,19.77,Low,3.6,41,No,Yes,Yes,Crunchy
75,Other,Late Night,Tablet,Rainy,American,Gluten-Free,11,42.42,American,18.49,High,3.8,45,Yes,Yes,Yes,Cold
88,Home,Late Night,Tablet,Rainy,Thai,None,7,49.49,Mexican,26.45,Low,3.9,20,No,Yes,No,Fresh
100,Home,Dinner,Desktop,Rainy,Italian,Halal,12,16.02,Thai,12.51,Medium,4.6,41,No,No,Yes,Smoky
24,Other,Dinner,Mobile,Sunny,Indian,Gluten-Free,14,33.77,Chinese,29.3,Medium,3.7,54,Yes,No,Yes,Soupy
3,Other,Lunch,Mobile,Sunny,Italian,Vegan,8,25.24,Indian,23.64,Medium,3.9,48,No,No,No,Hot
22,Other,Late Night,Desktop,Sunny,Indian,Halal,6,48.8,Italian,12.39,Medium,4.2,26,Yes,No,Yes,Hot
53,Home,Late Night,Mobile,Cloudy,Indian,Gluten-Free,0,43.68,Chinese,24.2,Low,3.8,59,Yes,No,Yes,Hot
2,Other,Late Night,Desktop,Hot,Mexican,Gluten-Free,2,43.53,Chinese,19.66,Low,4.7,21,Yes,No,Yes,Cold
88,Other,Breakfast,Mobile,Rainy,Indian,Halal,12,28.75,Mexican,23.56,Medium,4.2,24,Yes,No,Yes,Crunchy
